nomor titik data,x,y,CBA Residual
1,419626.8782,9017119.278,-0.5591
2,419626.0062,9017561.538,0.2447
3,419625.5704,9017782.669,-0.4949
4,419625.1347,9018003.799,-0.6424
5,419624.6991,9018224.929,-0.597
6,419624.2635,9018446.059,-0.4309
7,419847.2236,9016898.58,-0.6002
8,419846.7887,9017119.711,-0.3882
9,419846.3539,9017340.841,-0.1929
10,419845.9191,9017561.971,-0.1029
11,419845.4845,9017783.101,-0.2254
12,419845.05,9018004.232,-0.1341
13,419844.6155,9018225.362,-0.2866
14,419844.1812,9018446.492,0.124
15,420067.5666,9016677.882,-0.9404
16,420067.1328,9016899.012,-0.8611
17,420066.6991,9017120.143,-0.2896
18,420066.2654,9017341.273,-0.3002
19,420065.8319,9017562.403,-0.3293
20,420065.3985,9017783.533,-0.1161
21,420064.9651,9018004.663,-0.1852
22,420064.5319,9018225.793,-0.3976
23,420064.0988,9018446.923,0.0095
24,420063.6657,9018668.053,-0.0634
25,420287.9073,9016457.183,0.4043
26,420287.4745,9016678.313,0.4459
27,420287.0419,9016899.443,-0.4507
28,420286.6094,9017120.573,-0.2813
29,420286.1769,9017341.703,-0.0007
30,420285.7446,9017562.833,-0.0679
31,420285.3124,9017783.963,-0.0789
32,420284.8802,9018005.093,0.1044
33,420284.4482,9018226.223,0.2377
34,420284.0162,9018447.353,-0.1237
35,420283.5844,9018668.483,-0.3287
36,420506.9509,9016899.873,-0.3362
37,420506.5196,9017121.003,-0.2097
38,420506.0884,9017342.133,-0.137
39,420505.6572,9017563.263,-0.0841
40,420505.2262,9017784.393,-0.106
41,420504.7952,9018005.523,0.0433
42,420504.3643,9018226.652,0.004
43,420503.9336,9018447.782,-0.1154
44,420503.5029,9018668.912,-0.1561
45,420503.0723,9018890.042,-0.7901
46,420502.6419,9019111.172,-0.5694
47,420726.8599,9016900.301,-0.4752
48,420726.4297,9017121.431,-0.2655
49,420725.9997,9017342.561,0.0443
50,420725.5697,9017563.691,-0.1554
51,420725.1399,9017784.821,-0.2451
52,420724.7101,9018005.95,-0.0519
53,420724.2804,9018227.08,0.1296
54,420723.8509,9018448.21,-0.1119
55,420723.4214,9018669.34,0.0871
56,420722.992,9018890.47,0.3293
57,420946.7687,9016900.728,-0.3341
58,420946.3397,9017121.858,-0.2161
59,420945.9109,9017342.988,-0.1265
60,420945.4821,9017564.118,-0.0788
61,420945.0535,9017785.248,-0.024
62,420944.6249,9018006.377,-0.1838
63,420944.1964,9018227.507,0.1751
64,421166.6774,9016901.154,-0.223
65,421166.2497,9017122.284,0.0871
66,421165.822,9017343.414,-0.0697
67,421165.3945,9017564.544,0.0725
68,421164.967,9017785.673,-0.1719
69,421386.5861,9016901.579,0.0072
70,421386.1595,9017122.709,-0.1304
71,421385.7331,9017343.838,-0.2003
72,421606.9201,9016680.873,0.2739
73,421606.4946,9016902.003,-0.0356
74,421606.0693,9017123.132,0.0172
75,421605.644,9017344.262,-0.2571
76,421826.8274,9016681.296,-0.0325
77,421826.4031,9016902.425,-0.2448
78,422047.581,9016239.458,-0.4042
79,422047.1577,9016460.588,0.2386
80,422046.7346,9016681.717,0.0946
81,422046.3115,9016902.847,0.0883
82,422267.9079,9016018.749,-0.2628
83,422267.4857,9016239.879,0.2457
84,422267.0636,9016461.008,0.0679
85,422266.6417,9016682.137,0.0334
86,422266.2198,9016903.267,0.1843
87,422265.798,9017124.396,0.0103
88,422488.2324,9015798.039,-0.1117
89,422487.8113,9016019.169,0.0114
90,422487.3903,9016240.298,0.0771
91,422486.9694,9016461.427,0.1031
92,422486.5487,9016682.556,0.0356
93,422486.128,9016903.686,-0.0097
94,422484.8665,9017567.073,0.284
95,422709.3947,9015135.07,-0.5195
96,422708.9745,9015356.199,-0.2154
97,422708.5545,9015577.328,-0.0802
98,422708.1345,9015798.458,0.1154
99,422707.7146,9016019.587,0.065
100,422707.2948,9016240.716,-0.0388
101,422706.8752,9016461.845,-0.0923
102,422706.4556,9016682.974,0.2049
103,422706.0361,9016904.103,0.1057
104,422705.1974,9017346.362,0.121
105,422704.7781,9017567.491,-0.0484
106,422929.7122,9014914.358,-0.8302
107,422929.2931,9015135.487,0.2762
108,422928.8742,9015356.616,0.2754
109,422928.4553,9015577.745,0.1
110,422928.0365,9015798.875,0.1081
111,422927.6179,9016020.004,0.0012
112,422927.1993,9016241.133,0.0618
113,422926.7808,9016462.262,0.1308
114,422926.3624,9016683.391,0.0209
115,422925.9441,9016904.52,0.187
116,422925.5259,9017125.649,0.4283
117,422925.1078,9017346.778,0.2555
118,422924.6897,9017567.907,0.2866
119,423149.1915,9015135.903,-0.6401
120,423148.7737,9015357.032,0.1574
121,423148.3561,9015578.161,0.1578
122,423147.9385,9015799.29,0.0155
123,423147.521,9016020.419,0.1119
124,423147.1036,9016241.548,0.1944
125,423146.6863,9016462.677,0.1533
126,423146.2691,9016683.806,0.0643
127,423145.852,9016904.935,-0.0612
128,423145.435,9017126.064,0.1979
129,423145.0181,9017347.193,0.3929
130,423144.1845,9017789.451,0.3973
131,423368.6732,9015357.447,-0.0417
132,423368.2567,9015578.576,0.285
133,423367.8404,9015799.705,0.2458
134,423367.4241,9016020.834,0.203
135,423367.0079,9016241.963,0.2667
136,423366.5918,9016463.092,-0.0159
137,423366.1758,9016684.221,0.2257
138,423365.7598,9016905.349,0.2222
139,423365.344,9017126.478,0.2975
140,423364.9283,9017347.607,0.2904
141,423364.5126,9017568.736,0.0707
142,423364.0971,9017789.865,0.32
143,423588.5726,9015357.861,0.1048
144,423588.1573,9015578.99,0.1952
145,423587.7421,9015800.118,0.1952
146,423587.327,9016021.247,0.1631
147,423586.912,9016242.376,0.1538
148,423586.4971,9016463.505,0.1802
149,423586.0823,9016684.634,0.1585
150,423585.6676,9016905.762,0.2277
151,423585.253,9017126.891,0.1071
152,423584.8384,9017348.02,0.1869
153,423584.424,9017569.149,-0.0417
154,423808.4719,9015358.273,0.3789
155,423808.0578,9015579.402,0.0212
156,423807.6438,9015800.531,0.0764
157,423807.2299,9016021.659,0.2808
158,423806.8161,9016242.788,0.1389
159,423806.4024,9016463.917,0.0622
160,423805.9888,9016685.046,0.0639
161,423805.5752,9016906.174,0.0726
162,423805.1618,9017127.303,0.1133
163,423804.7485,9017348.431,0.2018
164,423804.3352,9017569.56,0.1676
165,423803.922,9017790.689,0.5924
166,423803.509,9018011.817,0.6506
167,424027.9582,9015579.813,0.1283
168,424027.5454,9015800.942,-0.0566
169,424027.1327,9016022.07,0.0815
170,424026.7201,9016243.199,0.1415
171,424026.3076,9016464.328,0.2422
172,424025.8951,9016685.456,0.0833
173,424025.4828,9016906.585,0.1056
174,424025.0706,9017127.713,0.1919
175,424024.6584,9017348.842,0.2096
176,424024.2463,9017569.97,0.245
177,424023.8344,9017791.099,0.0419
178,424023.4225,9018012.227,0.4245
179,424028.3711,9015358.684,0.8042
180,424248.2702,9015359.094,0.0639
181,424247.8585,9015580.223,-0.2678
182,424247.4469,9015801.352,0.1656
183,424247.0354,9016022.48,0.2112
184,424246.624,9016243.609,0.1526
185,424246.2127,9016464.737,-0.229
186,424245.8014,9016685.866,0.1451
187,424245.3903,9016906.994,0.0596
188,424244.9792,9017128.123,-0.0777
189,424244.5683,9017349.251,0.1759
190,424244.1574,9017570.38,0.1571
191,424243.7466,9017791.508,0.03
192,424243.3359,9018012.636,0.5969
193,424468.1692,9015359.503,0.0599
194,424466.938,9016022.889,0.213
195,424466.5278,9016244.017,0.0978
196,424465.2977,9016907.402,0.3624
197,424464.8878,9017128.531,0.065
198,424464.478,9017349.659,0.1524
199,424467.7587,9015580.632,0.5706
200,424467.3483,9015801.76,0.9114
201,424466.1177,9016465.146,0.4365
202,424465.7076,9016686.274,0.871
203,424688.4776,9015138.782,0.4001
204,424688.0682,9015359.911,0.5358
205,424687.6589,9015581.039,0.2484
206,424687.2497,9015802.168,-0.0056
207,424686.8405,9016023.296,0.1701
208,424686.4315,9016244.425,0.0883
209,424686.0226,9016465.553,0.3932
210,424685.205,9016907.81,0.3361
211,424684.7963,9017128.938,0.2493
212,424685.6137,9016686.681,0.4484
213,424909.6003,9014475.804,-0.5842
214,424909.1919,9014696.932,0.3633
215,424908.7835,9014918.061,0.2453
216,424908.3752,9015139.189,0.2438
217,424907.967,9015360.317,0.2582
218,424907.5589,9015581.446,-0.017
219,424907.1509,9015802.574,0.1143
220,424906.3351,9016244.831,0.2902
221,424905.9274,9016465.959,0.1785
222,424906.743,9016023.702,0.6823
223,424905.5197,9016687.087,0.3529
224,424905.1122,9016908.215,0.7427
225,425130.7167,9013812.824,-0.5931
226,425130.3091,9014033.952,-0.1567
227,425129.9017,9014255.081,-0.0708
228,425129.4943,9014476.209,0.2657
229,425129.0871,9014697.338,0.179
230,425128.6799,9014918.466,0.4904
231,425128.2728,9015139.594,0.0396
232,425127.8658,9015360.723,-0.0676
233,425127.4589,9015581.851,-0.2694
234,425127.052,9015802.979,0.1552
235,425126.6453,9016024.107,0.3272
236,425126.2387,9016245.236,0.078
237,425125.8321,9016466.364,0.5328
238,425125.4257,9016687.492,0.6411
239,425125.0193,9016908.62,0.3976
240,425350.2006,9014034.357,0.3085
241,425349.7944,9014255.485,0.326
242,425349.3882,9014476.614,0.1201
243,425348.1703,9015139.999,-0.1749
244,425347.7645,9015361.127,0.2417
245,425347.3587,9015582.255,0.3827
246,425346.9531,9015803.383,0.313
247,425346.5476,9016024.511,0.1808
248,425346.1421,9016245.639,0.2673
249,425345.7368,9016466.767,0.2336
250,425345.3315,9016687.895,0.0976
251,425344.9263,9016909.024,0.1084
252,425569.687,9014255.889,0.2812
253,425567.663,9015361.53,0.2367
254,425567.2585,9015582.658,0.2816
255,425566.8541,9015803.786,0.2994
256,425566.4497,9016024.914,0.1532
257,425566.0455,9016246.042,0.2102
258,425565.6413,9016467.17,0.1194
259,425565.2373,9016688.298,-0.0256
260,425564.8333,9016909.426,-0.0459
261,425564.4294,9017130.554,0.1037
262,425787.5615,9015361.931,0.043
263,425787.1582,9015583.059,-0.2589
264,425786.755,9015804.187,0.0918
265,425786.3518,9016025.315,0.0777
266,425785.9488,9016246.443,-0.0773
267,425785.5458,9016467.571,0.1542
268,425785.1429,9016688.699,0.193
269,425784.7402,9016909.827,0.3462
270,425784.3375,9017130.955,0.5053
271,425783.9348,9017352.083,0.4845
272,425783.5323,9017573.21,0.5158
273,426007.46,9015362.332,0.1084
274,426007.0578,9015583.46,0.2193
275,426006.6558,9015804.588,0.1962
276,426006.2538,9016025.716,0.2058
277,426005.852,9016246.843,0.2473
278,426005.4502,9016467.971,-0.0314
279,426005.0485,9016689.099,0.2481
280,426004.6469,9016910.227,0.4307
281,426004.2454,9017131.355,0.2895
282,426003.844,9017352.482,-0.0131
283,426003.4427,9017573.61,0.1103
284,426003.0415,9017794.738,0.4461
285,426229.3643,9014257.092,0.2183
286,426228.1604,9014920.475,0.3458
287,426227.7593,9015141.603,0.0163
288,426227.3583,9015362.731,0.0864
289,426226.9573,9015583.859,0.191
290,426226.5565,9015804.987,0.2632
291,426226.1557,9016026.115,0.205
292,426225.7551,9016247.242,0.2367
293,426225.3545,9016468.37,0.2121
294,426224.954,9016689.498,0.2629
295,426224.5536,9016910.626,0.1051
296,426224.1533,9017131.753,0.0165
297,426223.7531,9017352.881,0.2006
298,426223.353,9017574.009,0.2041
299,426222.9529,9017795.136,0.3906
300,426449.6568,9014036.362,0.0066
